ASIN,Title,ProxScore,Category,Brand,BSR,Price,"Monthly Sales","Net Price","Monthly Revenue","Review Count","Review Rating",Sellers,"Last Year Sales","Sales Year over Year","Sales Trend (90 days)","Price Trend (90 days)","Best Sales Period"
B00ESWE15Q,"Collins So She Did Decorative Box Sign",1,"Home & Kitchen",Collins,560901,10.75,13,5.95,139.75,13,3.9,3,418,16,-71,10,"Dec, 2018"
B00P1CQREK,"Love - Rare Blues & Aqua Sea Glass Heart Poster Print. 11x14 Great for Framing. Best Quality Gifts of Heart Collection. Unique Birthday, Christmas & Valentines Gifts for Women, Men & Kids of All Ages",1,"Office Products","Donald Verger Photography",57501,19.95,58,14.55,1157.1,170,4.5,1,1041,-7,-4,11,"Dec, 2017"
B01N134IJW,"Kate and Laurel Lipton Decorative Tray with Polished Metal Handles, White and Gold",1,"Home & Kitchen","Kate and Laurel",15255,38.99,584,20.7,22770.16,57,4.2,6,4683,1070,61,-1,"Jul, 2019"
B075HX2JJH,"Abstract Gold, White, and Peach Flecks Painting on Canvas Wall Art Decor, 30"" x 30""",1,"Home & Kitchen",Rivet,111488,84.99,46,56.34,3909.54,21,4.3,1,,,610,,"Jan, 2019"
B077D2QM4S,"Gardenia Art - Abstract Mountain at Night Canvas Prints Wall Art Paintings Abstract Geometry Wall Artworks Pictures for Living Room Bedroom Decoration, 16x12 inch/Piece, 3 Panels",1,"Home & Kitchen","Gardenia Art",21621,29.99,355,20.46,10646.45,104,3.8,2,5650,,78,,"Jan, 2019"
B079Y6NCC4,"Good Vibes Only Wall Art, Wall Decor, Inspirational Quotes, Gold Foil Sign, Motivational Design For Office, Living Room, Bedroom or Nursery, 8x10 Print  - Designed by Bliss Paper Boutique",1,"Home & Kitchen","Bliss Paper Boutique",283307,9.99,20,6.08,199.8,6,3.8,1,444,,-21,,"Jan, 2019"
B07F4G1J7K,"Pi Art Framed Contemporary Abstract Shinning Gold and Pink Trendy Canvas Print Wall Art with Gold Foil Wall Decor Picture for Living Room and Bedroom (24x24, Set)",1,"Home & Kitchen","Pi Art",63315,79.9,135,67.91,10786.5,33,4.8,1,1183,,95,-15,"Mar, 2019"
B07G69NNR3,"Wall Necklace Holder and Jewelry Organizer. Large rustic hanging display includes bracelet bar, earrings grid, 18 hooks, and shelf. Perfect gift for bridal shower, women, girls, or dorm room!",1,"Home & Kitchen","Mint + Elm",397403,84.99,89,58.66,7564.11,31,4.8,1,,,27,69,"Jan, 2019"
B07JHRJQYD,"Motivational Words Typography Artwork Quotes and Saying Art Prints?Set of 3 Art posters?8 "" x10 "" ?Canvas Inspire Success Phrases Inspirational Print For Office Classroom Shareable Wall Art Decor",1,"Home & Kitchen",Chsdec,58298,13.59,148,9.14,2011.32,14,3.8,1,,,206,-3,"Mar, 2019"
B07K7MFYG6,"She Believed She Could So She Did - Framed - Quote Motivational Wall Art Canvas Print Home Decor, Black Real Wood Frame, White, 14x18",1,"Home & Kitchen","Art Hub",81699,34.5,232,19.54,8004,21,4.4,2,,,75,-20,"Jul, 2019"
B07KWTRMDD,"Unicorn Inspirational Motivational Quotes Wall Art Prints | Posters for Girls Bedroom Decor | Art Prints Teen Room Decorations | 8x10 Unframed",1,"Home & Kitchen",Ihopes,164595,10.99,106,6.93,1164.94,11,4.6,1,,,12,,"Mar, 2019"
B07TD9KN91,"Girls Room Wall Art Prints - Teen Women Wall Art Decor Posters Decor For Home, Bedroom, Dorm, Office, Cubicle, Desk ",1,"Home & Kitchen","Brooke & Vine",83265,14.95,92,10.34,1375.4,1,5,1,,,,21,"Jul, 2019"
B00OW2725S,"Graham & Brown 41-539 Watercolor Woods Printed Canvas Wall Art",1,"Home & Kitchen","Graham & Brown",188014,49.08,36,27.38,1766.88,52,3.4,4,468,-25,117,-9,"Oct, 2018"
B00VIAFLH8,"Marla Rae Inspirational Quotes Wall Art - Today is a New Day 12 x 18 (Earth Tones)",1,"Home & Kitchen","Marla Rae",74362,29.99,172,20.4,5158.28,120,4.3,1,1685,27,128,,"Oct, 2017"
B01D5N9TTQ,"Flameless Votive Candles,Gold Votive Candles Bulk,Flameless Votive Candles,LED Votive Flameless Tea Lights Candles for Party,Wedding,Christmas,Festival Decoration.(Gold Glitter,Pack of 12)",1,"Tools & Home Improve",LOGUIDE,31667,13.99,229,8.61,3203.71,103,4.1,1,2786,-26,-12,,"Dec, 2017"
B01MV07LJW,"Set of 4 Decorative Posters 11x17 inches 1mm Thick Cardboard with Double Sided Tape Included - Summer Time Quotes and Gold Pineapple Inspirational Wall Art - Perfect Prints for Bedroom or College Dorm",1,"Home & Kitchen","Unconditional Rosie",973872,15.99,3,8.88,47.97,6,2.6,1,110,,-64,,"Aug, 2017"
B0716774ZM,"DII Fabric Storage Bins for Nursery, Offices, & Home Organization, Containers Are Made To Fit Standard Cube Organizers (13x13x13"") White with Gold Dots - Set of 2",1,"Home & Kitchen",DII,10743,16.98,992,8.79,16844.16,303,4.6,2,21452,431,-6,,"Aug, 2018"
B074QN381Z,"40 LED Photo Clips String Lights - 8 Modes Wall Hanging Clothespin Picture Display Peg Card Holder, Teen Girls Graduation School Dorm Room D",1,"Patio, Lawn & Garden",Jokmae,11835,25.99,60,18.81,1439.4,45,4.3,1,951,99,0,-3,"Nov, 2018"
B075P746L9,"WHATOOK Colorful Unicorn Light,Changeable Night Lights Battery Operated Decorative Marquee Signs Rainbow LED Lamp Wall Decoration for Living Room,Bedroom,Home, Christmas Kids Toys",1,"Tools & Home Improve",WHATOOK,6241,13.99,665,8.61,7308.35,276,3.8,1,19784,,6,1,"Dec, 2018"
B0764NRL7K,"Inspirational Rumi Wall Art, Motivational Bedroom Posters for Teens, Handmade Oil Painted Look with Positive Thinking Wall Quotes for Room, Set of 4 Home or Classroom Decor Prints, 11 x 17 in.",1,"Home & Kitchen","Pillow & Toast",23537,19.98,415,13.7,8291.7,53,4.4,1,948,,0,-9,"Aug, 2019"
B077ZCRP7Y,"mDesign Plastic Bathroom Vanity Countertop Canister Jar with Storage Lid - Stackable - Divided, Double Compartment Organizer for Cotton Balls, Swabs, Bath Salts - Clear/Rose Gold",1,"Home & Kitchen",mDesign,4082,8.99,1439,4.45,12936.61,112,4.6,1,10273,,154,,"Mar, 2019"
B079LYB9Y5,"Best Choice Products Indoor Outdoor Decorative Nesting Round Side End Accent Coffee Table Nightstands, Set of 2",1,"Home & Kitchen","Best Choice Products",34560,82.99,177,70.54,14689.23,80,4.1,4,2482,,-12,,"Mar, 2019"
B07B9V9PBY,"Framed Canvas Painting Pineapples Prints Home Wall Art Decor Fruit Picture Poster Office Kitchen Decoration 10 x 16in",1,"Home & Kitchen",K-Road,40490,15.88,293,8.74,4652.84,43,4.3,2,9619,,-59,,"Aug, 2018"
B07BZP2LCK,"Designs by Maria Inc. Motivational Inspirational Quotes Art Prints | Set of 4 (Unframed) 8x10",1,"Home & Kitchen","Designs by Maria Inc.",120296,12.99,66,8.63,857.34,7,4.1,1,808,,68,48,"Dec, 2018"
B07CMRTJSK,"wallsthatspeak Girl's Room Unicorn Magic Life Lessons - Unframed Rainbow Sparkle 12x16 Inch Wall Decor Art Print Poster",1,"Home & Kitchen",wallsthatspeak,80189,11.1,275,6.24,3052.5,41,4,1,3346,,49,,"Dec, 2018"
B07CVRKQTS,"Signature Design by Ashley A8000148 Cristela Wall Art, Taupe",1,"Home & Kitchen","Signature Design by Ashley",806739,74.8,10,63.58,748,8,4.8,11,117,,62,-8,"Jan, 2019"
B07DXGDWXH,"Art-logo Today Is A Brand New Day Canvas Print Inspirational Quotes Wall Art Painting For Home Decor Vintage Picture Giclee Artwork Decoration Wood Grain Looking Textual Gallery-Wrapped 16""x20""",1,"Home & Kitchen",Art-logo,141336,45.93,54,29.26,1926.72,10,3.7,1,564,,129,5,"Oct, 2018"
B07F65YTT4,"HAITRAL Gold Crystal Table Lamp - Small Decorative Bedsides Lamp with Crystal Lamp Shade Gold Night Lamps for Bedroom, Living Room, Kitchen, Dining Room, Dorm (HT-BD025)",1,"Tools & Home Improve",HAITRAL,114335,23.59,59,14.79,1391.81,12,4.9,1,610,,43,12,"Dec, 2018"
B07GBVKXGZ,"Green Leaf Wall Art Tropical Plants Simple Life Picture Artwork, 3 Pieces Contemporary Canvas Art Minimalist Watercolor Painting of Monstera Palm Banana Wall Decor for Bathroom Living Room Bedroom",1,"Home & Kitchen",myhomestation,65211,26.9,183,15.85,4922.7,20,4.9,1,,,104,,"Jul, 2019"
B07GRGKVVB,"Amethyst Glitter by Jennifer Goldberger, 2 Piece Canvas Art Set, 14 X 14 Inches Each, Abstract Art",1,"Home & Kitchen","Great Art Now",852262,59.99,4,50.99,239.96,-1,-1,1,,,0,,"Jul, 2019"
B07KK8YXRM,"Chsdec Fashion Print?Fashion Women Art Print?Lashes Lipstick Printing?Set of 3?8"" x10""? Unframed, Excellent Gift for Girls Woman Bedroom Inspirational Wall Art Home Decor",1,"Home & Kitchen",Chsdec,160177,13.29,43,8.89,571.47,12,3.9,1,,,34,-4,"Apr, 2019"
B07L4QWQRV,"Motivational Posters for Office, Room, Home, Classroom Decorations Chalkboard 15 Set - Inspirational Quotes Wall Decor Black White Pictures 13"" x 19"" - Inspiring Students, Women, Men, Teachers Gifts",1,"Home & Kitchen",Postelix,337148,32.99,199,22.78,6565.01,42,4.6,0,,,-68,34,"Mar, 2019"
B07MFDRMJL,"Abstract Art Picture Painting Print: Dashes & Orbs Gold Foil Artwork on Canvas for Wall",1,"Home & Kitchen","Artistic Path",75214,49.99,74,29.67,3699.26,11,4.9,1,,,249,,"Jul, 2019"
B07P9B55S6,"chillake She Believed She Could So She Did Real FOIL Art Print,Inspirational Quote,Modern Wall Art Poster Decor Gifts,for Baby Girls Women, Perfect Graduation Birthday 8"" X10""?Unframed?",1,"Home & Kitchen",chillake,315376,8.69,4,5.02,34.76,-1,-1,1,,,,-3,"Jul, 2019"
B07PRS1HHN,"Yihui Arts Modern Canvas Print Art Wall Picture White Flower with Gold Foil Painting Contemporary Decor Artwork (20x20IN)",1,"Home & Kitchen","Yihui Arts",639693,39,14,22.99,546,6,5,1,,,1067,,"Jul, 2019"
B07PXGD21T,"Paris Eiffel Tower Decor for Bedroom for Girls Pink Paris Theme Room Decor Wall Art Canvas Black and White Art Eiffel Tower Pictures Decorations London Big Ben Tower Eiffel Tower Painting Framed",1,"Home & Kitchen",Maectpo,18778,29.9,540,19.39,16146,53,4.9,1,,,34,,"Jul, 2019"
B010TBUIOW,"Darice 5915-720 Silver Metal Marquee Letter 9.875""-T",1,"Home & Kitchen",Darice,553,10.55,11592,4.21,122295.6,1237,4.5,8,153258,441,15,1,"Dec, 2018"
B01L6O35RI,"wall26 Canvas Wll Art - Crystal Chandelier on Glittering Golden Background - Giclee Print and Stretched Ready to Hang - 24""x36""",1,"Home & Kitchen",wall26,73815,34.99,203,29.74,7102.97,216,4.5,2,1980,,52,9,"Mar, 2019"
B01MUGK1V0,"mDesign Modern Square Bathroom Vanity Countertop Storage Organizer Canister Jar for Cotton Swabs, Rounds, Balls, Makeup Sponges, Bath Salts - 2 Pack - Clear/Gold",1,"Home & Kitchen",mDesign,3632,12.99,2941,7.85,38203.59,331,4.6,1,36512,916,17,,"Mar, 2019"
B01NAQFR9A,"Urban Shop Faux Fur Saucer Chair with Metal Frame, One Size, Blush",1,"Home & Kitchen","Urban Shop",3680,60.04,2841,33.27,170289.54,156,3.9,3,14140,518,240,2,"Jul, 2019"
B06Y24CTX3,"Rainbow Seeds Wreath I by Lisa Audit, 24x24-Inch Canvas Wall Art",1,"Home & Kitchen","Trademark Fine Art",999803,37.99,5,19.85,189.95,3,4.5,3,31,,2277,,"Aug, 2018"
B07197F32Y,"Posh Dots Metallic Gold Circle Wall Decal Stickers for Festive Baby Nursery Kids Room Trendy Cute Fun (200 Decals) Vinyl Removable Round Polka Dot Decor Safe for Wall Paint Confetti",1,"Home & Kitchen","Josephine on Caffeine",26136,12.99,426,8.63,5533.74,230,4.8,1,4652,-55,11603,,"Sep, 2017"
B071H2K16S,"4TH Emotion Gold Pineapple Throw Pillow Case Cushion Cover 18"" x 18"" Inch Cotton Polyester",1,"Home & Kitchen","4TH Emotion",97197,8.99,156,4.45,1402.44,32,4.5,1,11334,302,-15,-14,"Jan, 2019"
B0732LHLNQ,"Canvas Wall Art Green Leaf Simple Life Painting 12"" x 16"" x 3 Pieces Framed Canvas Pictures Watercolor Prints Contemporary Canvas Artwork Ready to Hang for Home Decoration Kitchen Office Wall Decor",1,"Home & Kitchen",arteWOODS,22209,25.9,409,16.37,10593.1,143,4.8,1,7464,,7,,"Jul, 2018"
B073J7Y7H3,"MOCOFO Glitter Pillow, Reversible Sequins Pillow Cover Magic Mermaid Fish Pillowcase Parkly Fun Flip Sequins Throw Pillow Cover Teal Gold Couch Cute Color Changing Decor Cushion Covers for Sofa16X16",1,"Home & Kitchen",MOCOFO,95325,6.99,124,2.75,866.76,122,4,1,3181,87,97,-10,"Dec, 2018"
B07455Z8HF,"Pillow & Toast Unicorn Posters for Girls Bedroom, Unicorn Rainbow Room Wall Decor Gifts for Girls Slumber Party, Decorative Teen Women Art Prints Set of 4 17x11 in",1,"Home & Kitchen","Pillow & Toast",49315,9.99,204,4.22,2037.96,99,4.4,1,4124,,61,-19,"Dec, 2018"
B074M82NG2,"DZL Art D70234 Canvas Wall Art Horse Animal Painting Prints on Canvas Framed Ready to Hang-3 Panels Watercolor Horses Prints Fine Art for Home Wall Decor",1,"Home & Kitchen","DZL Art",134865,23.99,126,14.54,3022.74,69,4.8,1,1556,,6,,"Mar, 2019"
B076YVZ5XY,"iefoah Pineapple Coin Piggy Bank Decorative Ceramic Pineapples Shaped Cans Cute Girls Piggy Bank for Pineapple Theme Party Decor Girls Kid's Children Adults Birthday Gifts (White)",1,"Toys & Games",iefoah,24741,10.99,197,6.06,2165.03,113,4.1,1,2653,,8,,"Feb, 2019"
B07D55FCR5,"EZON-CH Hand Painted Framed Abstract Sea Oil Painting Blue Gold Foil Embellishment 3-Piece Gallery-Wrapped Large Canvas Wall Art 48Inch Total",1,"Home & Kitchen",EZON-CH,1253750,69.98,5,48.18,349.9,-1,-1,2,,,0,-6,"Jan, 2019"
B07D7J4MNJ,"Greenco 4 Cube Intersecting Wall Mounted Floating Shelves Gray Finish",1,"Home & Kitchen",Greenco,2229,23.39,3711,11.73,86800.29,365,4.4,3,38151,,16,-14,"Mar, 2019"
B07FKR5J79,"Kate and Laurel Ascencio 4-Layer Modern Luxe Wooden Wall Shelves with Matte Gold Metal Frame and White Display Boards, 22x6x24.25",1,"Home & Kitchen","Kate and Laurel",251756,160.58,34,111.51,5459.72,10,4,1,266,,-30,32,"Jul, 2019"
B07JP2Y4G1,"Madison Park Sterling Mist 100% Hand Brush Embellished Canvas 3 Piece Set Grey See Below",1,"Home & Kitchen","Madison Park",656984,125.63,2,106.79,251.26,-1,-1,4,,,14,10,"Jan, 2019"
B07LCYTGRP,"Homdeco Fashion Watercolor Prints Fashion Women Art Print Set of 3 (10",1,"Home & Kitchen",Homdeco,273055,13.89,58,9.4,805.62,12,3.5,1,,,108,,"Feb, 2019"
