ASIN,Title,ProxScore,Category,Brand,BSR,Price,"Monthly Sales","Net Price","Monthly Revenue","Review Count","Review Rating",Sellers,"Last Year Sales","Sales Year over Year","Sales Trend (90 days)","Price Trend (90 days)","Best Sales Period"
B01N2FZNZX,"Monkeysell Bronzing Flannelette Home Throw Pillow Cover Lips Love Black Striped White Print Gold Black Room Decor Throw Pillows Cover for Couch Bed Sofa Christmas Gift18 inches",3,"Home & Kitchen",Monkeysell,9956,6.99,1346,3.57,9408.54,353,4.6,1,11769,298,168,,"Nov, 2018"
B072N5WBVY,"California Home Goods Modern Hanging Planter Pots (2-Pack), Small Decorative Wall Planters for Cactus Decor & Hanging Plants, Wall Hanging Ceramic Planter with Brass Wire Frame, White Plant Decor",3,"Home & Kitchen","California Home Goods",5627,16.95,1882,11.13,31899.9,430,4.2,2,14490,,12,12,"Oct, 2017"
B074G1XL4M,"8"" x10"" Gold Heart Nursery Prints for Baby Girl & Children Room Decor & Decorations Perfect for Baby Shower Gift Ideas ",3,Baby,"Nora's Nursery",11333,14.97,136,10.31,2035.92,83,3.1,1,1944,,-3,,"Mar, 2018"
B07B7CYPPQ,"wall26 - Chandelier on Vintage Background - Canvas Art Wall Decor - 24x36 inches",3,"Home & Kitchen",wall26,73815,39.99,206,33.99,8237.94,216,4.5,2,1995,,55,,"Mar, 2019"
B07KC439L6,"Ocean Wall Art Pictures Paintings: Colorful Balloon on Pink Car in Beach with Blue Sky and Palm, Photographic Landscape Artwork Print on 3 Piece Canvas",3,"Home & Kitchen","Artistic Path",374091,47.99,45,26.45,2159.55,37,4.7,1,,,105,-6,"Jan, 2019"
B00LT5O23Q,"Creative Products Today is a New Day Wood Wall Art Print by Marla Rae 16 x 12",3,"Home & Kitchen","Creative Products",8762,17.98,814,9.03,14635.72,297,4.6,4,16018,71,5,21,"Feb, 2019"
B075GPC792,"wall26 - 3 Piece Canvas Wall Art - Luxury Gold Abstract Polygonal Background 3D Rendering - Modern Home Decor Stretched and Framed Ready to Hang - 24""x36""x3 Panels",3,"Home & Kitchen",wall26,146164,79.98,116,48.07,9277.68,54,4.3,2,1079,,96,,"Mar, 2019"
B07P2L1CYL,"Wall Art for Bedroom Canvas Prints Artwork Bathroom Wall Decor Abstract Geometry Pictures for Living Room Bedroom Decoration 12",3,"Home & Kitchen","DVQ ART",116955,29.99,144,19.47,3742.56,20,3.9,2,,,86,,"Jul, 2019"
B07PMC4BQQ,"Geometric Abstract Wall Art 3 Pieces Large Painting Blue White Canvas Print Gold Metallic Wall Artwork Pictures Ready to Hang for Living Room Bedroom Office Home Decoration 24x48inch",3,"Home & Kitchen","Aitesi Art",151370,58.88,80,37.61,4710.4,25,4.1,2,,,0,,"May, 2019"
B00ZSL99TE,"2 Piece GEO Flocked Sheer Grommet Window Curtain Panels 38"" X 84"" Total 76 "" X 84"" (Raffia)",2,"Home & Kitchen","Ruthy's Textile",94313,21.49,116,13.01,2492.84,278,4.5,2,1432,,-1,,"Aug, 2018"
B01C4SELI2,"Wall Decal Quote She Believed She Could So She Did Cute Vinyl Wall Art Decal Home Decor Sayings Quotes",2,"Home & Kitchen","Quote Designs",299327,13.99,29,8.7,405.71,32,4.2,1,434,33,128,1,"Aug, 2018"
B01N0DH1ZV,"Cute Superhero Girls Wall Art Prints - Set of 8 (8 inches x 10 inches) Supergirl Bedroom Playroom Photos",2,"Home & Kitchen","BigWig Prints",234256,24.97,54,18.81,1348.38,30,4.5,1,476,97,84,,"Nov, 2018"
B01N315V79,"The Oliver Gal Artist Co. Fashion and Glam Wall Art Canvas Prints 'Lipstick Collection' Home D",2,"Home & Kitchen","The Oliver Gal Artist Co.",900280,53.99,13,33.22,701.87,7,4.2,1,166,466,21,35,"Jan, 2019"
B06Y6KJKR9,"Foxtop Modern Wall Clock, Silent Non-Ticking Quartz Decorative Battery Operated Wall Clock for Living Room Home Office School w Rose Gold Plastic Frame Glass Cover (12 inch, Arabic Numeral)",2,"Home & Kitchen",Foxtop,5259,17.77,2563,10.01,45544.51,370,4.1,1,23968,451,54,,"Mar, 2019"
B07CS6QP4W,"Inspirational Fashion Prints - Set of 6 (8x10) Pink and Gold Office Poster Wall Art Quotes",2,"Home & Kitchen",Crystal,18745,14.95,235,10.23,3513.25,30,3.8,1,1716,,117,-35,"Mar, 2019"
B07DGCL6FH,"World Map Canvas Wall Art Gold Picture Modern Painting Compass Continents of Bronze Artwork Framed Home Decor for Bedroom 5 Piece Easy Hanging 40x20 inch",2,"Home & Kitchen","Everlands Art",146201,39.99,46,23.45,1839.54,2,5,2,252,,135,,"Mar, 2019"
B07GGXQBX4,"ZSSZ She Believed She Could so She Did - Wall Decal Inspirational Quote Wall Words Sticker Art Letters Girl Bedroom Decor",2,"Home & Kitchen",ZSSZ,67484,9.98,187,5.29,1866.26,19,3.1,1,,,39,,"Mar, 2019"
B07L8YKRRW,"EVAIL Unicorn Wall Posters Rainbow Unicorn Canvas Wall Art Prints Painting Decoration Pictures Set of 3 (8",2,"Home & Kitchen",EVAIL,15549,10.99,646,6.93,6453.54,36,3.5,1,,,48,-24,"Apr, 2019"
B00Y7R3F8Q,"wall26 - Eiffel Tower in Paris France - Canvas Art Wall Decor - 16""x16""",2,"Home & Kitchen",wall26,17759,19.98,515,7.71,10289.7,196,4.7,2,5896,179,71,,"Dec, 2018"
B019Q1Z4RC,"wall26 - Bold Inspirational Quote She Believed She Could So She Did Pink on Champagne Bokeh Background - Home Dorm Room Decor - Canvas Art Home Decor - 12x18 inches",2,"Home & Kitchen",wall26,440295,17.98,23,5.88,413.54,4,4.4,3,,,87,16,"Dec, 2018"
B078NJR7W3,"Inhale Exhale Gold Foil Print Poster Home Wall Art Decor Relax Meditation Minimalist Artwork Yoga Motivational Inspirational Famous Quotes Bedroom Bathroom Zen Dorm Breathe Toilet Relaxation Gift 8x10",2,"Home & Kitchen","Rupava Creations",271951,16.95,8,11.01,135.6,9,4.4,1,140,,-84,,"Aug, 2018"
B07GSS2BJ3,"Fashion Women Art Print Set of 4 (8",2,"Home & Kitchen",Homdeco,94708,14.99,114,10.33,1708.86,14,3.6,1,,,23,,"Jul, 2019"
B07KKCHJ7B,"Modern Fashion Women Art Print, Set of 4(8"" x10"") Unframed, Fashion Lipstick Cosmetic Red Lips Wall Art Inspirational Quotes Printing, Make Up Lover Gift",2,"Home & Kitchen",Chsdec,71500,14.59,129,9.99,1882.11,42,3.9,1,,,77,-3,"Mar, 2019"
B01728N392,"Stupell Home D",2,"Home & Kitchen","The Stupell Home Decor Collection",24221,12,363,4.94,4356,68,4.6,3,2783,29,932,-60,"Dec, 2018"
B06X194VJ5,"Madison Park White Gilded Grandeur Canvas Art With Gold Foil 4 Piece Set",2,"Home & Kitchen","Madison Park",932910,48.79,3,26.37,146.37,11,3.9,8,82,,-82,-4,"Jul, 2018"
B06XC7CYXF,"YIHONG Fairy Lights LED Rope Lights Battery Operated - 33ft 8 Mode String Lights Waterproof - Firefly Lights with Remote Timer for Christmas Garden Party Indoor Decor-Multicolor",2,"Patio, Lawn & Garden",YIHONG,4151,13.99,65,8.61,909.35,429,4.1,1,14500,-9,-41,,"Aug, 2017"
B07111413J,"LANMU Hanging Container,Handcrafted Wall Vases,Geometric Wall Decor,Wall Vase Hanging,Plant Holder for Air Plants/Succulent Plants/Artificial Flowers/Mini Cactus/Geometric Plants (2 Pack)",2,"Patio, Lawn & Garden",LANMU,10365,18.98,0,11.37,-,155,3.5,2,2345,1415,0,,"Jan, 2019"
B07253D9PX,"ZEEFO Crystal Table Lamp, Nightstand Decorative Room Desk Lamp, Night Light Lamp, Table Lamps for Bedroom, Living Room, Kitchen, Dining Room (Silver)",2,"Tools & Home Improve",ZEEFO,13485,26.99,349,17.85,9419.51,340,4.7,1,8779,-17,8,,"Oct, 2017"
B07628LC4D,"Stupell Industries Glam Perfume Bottle Gold Pink Stretched Canvas Wall Art, Proudly Made in USA",2,"Home & Kitchen","The Stupell Home Decor Collection",47522,26.08,144,12.39,3758.4,31,4.6,2,971,,104,-12,"Jul, 2019"
B076JNVHFD,"Motivational Inspirational Quotes Art Prints 4 Pack | Set of Four Photos 8x10 Unframed | Classroom Office Home Wall Art - Inspire Teen Boy Girl Fitness Success Workout Sports Gym Hard Work Decor",2,"Home & Kitchen",TheNameStore,27210,8.77,349,5.04,3060.73,44,4,1,3362,,3309,,"Aug, 2018"
