ASIN,Title,Category,Brand,BSR,Price,"Monthly Sales","Net Price","Monthly Revenue","Review Count","Review Rating",Sellers,"Last Year Sales","Sales Year over Year","Sales Trend (90 days)","Price Trend (90 days)","Best Sales Period"
B07KXSV6G5,"EASTSURE Chunky Knit Blanket Bulky Throw Merino Wool Hand Made Bed Sofa Throw Super Large,Pink,71""x80""","Home & Kitchen",EASTSURE,709270,215.88,18,183.5,3885.84,10,4.4,1,,,0,,-
B07MW3Z3KK,"ONETEAR Bedspread Cover+Pillow Shams Pre-wash Microfiber Quilted Coverlet Quilt Set Bedding with Diamond Design-All Season-Protection Non-Slip Dustproof Dog-Proof(Dark Blue, Twin)","Home & Kitchen",ONETEAR,197042,34.99,23,23.34,804.77,13,4.6,1,,,529,-4,"Jul, 2019"
B07TNQH3NS,"WEIBING Many Snoopy U-Shaped Travel Pillow Good Support for Neck and Back ","Home & Kitchen",WEIBING,2082039,17.98,2,15.28,35.96,-1,-1,0,,,,,"Aug, 2019"
B07Q161J9C,"Bookishbunny 2pk Dog Bone Shaped Travel Neck Pillows with Washable Removable Cover Memory Foam Car Bus Truck Driving Comfort Head Rest Support (Gray)","Home & Kitchen",Bookishbunny,556794,14.97,4,12.72,59.88,-1,-1,1,,,,,"Jun, 2019"
B075HGXYCL,"mds Pack of 55 Yard Bridal Solid Sheer Organza Fabric Bolt for Wedding Dress,Fashion, Crafts, Decorations Silky Shiny Organza 44","Home & Kitchen",mds,33175,60,375,51,22500,67,4.1,1,,,-15,,"Mar, 2019"
B07RHGTGTJ,"Bookishbunny Micro Bead Bolster Tube Pillow Special Holiday Pattern + Removable Cover - Squishy and Cool Fabric, Odorless Hypoallergenic 11.8 x 6 x 7 (Blue Dot Pattern + Black Cover)","Home & Kitchen",Bookishbunny,505316,13.99,43,11.89,601.57,15,4.3,1,,,,6,"Aug, 2019"
B07PFMJQLW,"JSAMZ 2PCS Car Neck Pillow, Comfortable Soft Breathable Leather Car Head Neck Rest Cushion Relax Neck Support Headrest Pillows (fit for Volkswagen)","Home & Kitchen",JSAMZ,730264,38.99,1,33.14,38.99,2,5,1,,,,,"Aug, 2019"
B07PWDGF7H,"Metallic Large Gold, Silver, Pink Tinsel foil Curtain for Decorations 3.2 x 9.8 Perfect for Party Decorations and Photo Background (Pink, 2)","Home & Kitchen","Harmony Decorations",965252,6.99,0,5.94,-,-1,-1,0,,,,,-
B071CYT953,"Regency Zeng Stack Chair","Home & Kitchen",Regency,423593,49.68,5,42.23,248.4,18,4.8,0,,,0,,-
B074VHQSJF,"Great Value Towels, Orange Color Hemmed Fingertip Velour Towel 11in x 18in, 100% Cotton (3, Orange)","Home & Kitchen",Georgiabags,412043,12.9,33,7.77,425.7,10,3,1,360,,218,,"Sep, 2018"
