ASIN,Title,Category,Brand,BSR,Price,"Monthly Sales","Net Price","Monthly Revenue","Review Count","Review Rating",Sellers,"Last Year Sales","Sales Year over Year","Sales Trend (90 days)","Price Trend (90 days)","Best Sales Period"
B003DEDSTA,"LIVE LAUGH LOVE Vinyl wall quotes stickers sayings home art decor decal","Home & Kitchen",Wheeler3Designs,1632289,7,0,2.82,-,27,3.8,1,4,,-143,,"Jan, 2018"
B00FBQVIQI,"Adeco Decorative Iron Wall Sign Plaque, Historic Route 66 Black White Home Decor - 19.7x7.9 Inches","Home & Kitchen",Adeco,253005,18.5,50,7.21,925,152,4.2,1,686,,-10,,"Aug, 2018"
B00M1B399A,"Collections Etc Scrolling Live Laugh Love Metal Wall Art, Standard, Black","Home & Kitchen","Collections Etc",77776,17.98,117,15.28,2103.66,204,4.4,7,1321,-65,10,,"Jan, 2018"
B00O2DD170,"46"" Live Laugh Love Embellishment Wall Decal Sticker Art Mural Home D","Home & Kitchen",WallPressions,417465,9.99,1,8.49,9.99,8,4.2,2,26,-54,238,,"Nov, 2017"
B00XLMGHV0,"Live, Love, Laugh - Square Desk Sign Set of 3 (Live every moment, Love beyond words, Laugh everyday)","Home & Kitchen","Hearthside Collection",361872,9.49,29,4.79,275.21,21,2.9,5,244,-41,268,-5,"Sep, 2017"
B00XM1WHA0,"Live Love Laugh Set 3 Wall Mount Metal Wall Word Sculpture, Wall Decor By Super Z Outlet","Home & Kitchen","Super Z Outlet",17901,11.99,738,5.43,8848.62,280,4.5,1,8244,45,4,3,"Mar, 2019"
B015NHC3GI,"New Inspirational LIVE LAUGH LOVE Black Metal Wall Decor Sign","Home & Kitchen","Your Heart's Delight",379199,19.86,40,6.87,794.4,13,4.7,4,203,,159,-18,"Jul, 2019"
B017HXHUQE,"wall26 Live Laugh Love - 3 Piece Canvas Print - Wall Art Decor - Gallery Wrap Panels on Wooden Stretcher Bars - Colorful Design for Home - Beautiful Quote - Ready to Hang Black and White","Home & Kitchen",wall26,336541,41.78,31,35.51,1295.18,6,5,2,288,360,84,,"Mar, 2019"
B018DAYRHA,"48""x7"" Live Well Laugh Often Love Much with Embelishments Family Wall Decal Sticker Art Home D","Home & Kitchen",WallPressions,1782174,9.99,1,8.49,9.99,1,5,1,12,18,-98,,"Feb, 2019"
B01EKUX71E,"BinaryABC Live Love Laugh Wooden Letters,Engagement Wedding Party Decorations,3Pcs(White)","Home & Kitchen",BinaryABC,108995,7.99,41,3.6,327.59,26,3.8,1,435,50,24,,"Sep, 2018"
B01FKOLIOC,"Beautiful Inspirational Floral ""Cherish Every Moment In Your Life"" and ""Live Laugh and Love"" by Lisa Audit; Two 12x12in Unframed Print. Teal/Brown/White","Home & Kitchen","Gango Home D",386023,11.99,18,10.19,215.82,45,4.1,1,499,,-65,,"Oct, 2017"
B01J88TFXC,"Wall Pops WPQ1744 Live Laugh Love Wall Quote","Tools & Home Improve","Wall Pops",63860,10.98,45,6.14,494.1,12,4,5,278,,29,,"May, 2019"
