ASIN,Title,Category,Brand,BSR,Price,"Monthly Sales","Net Price","Monthly Revenue","Review Count","Review Rating",Sellers,"Last Year Sales","Sales Year over Year","Sales Trend (90 days)","Price Trend (90 days)","Best Sales Period"
B00NIZIIUI,"5 Panel Wall Art Painting City Graffiti Street Wall Prints On Canvas The Picture City Pictures Oil For Home Modern Decoration Print Decor","Home & Kitchen","So Crazy Art",2073700,44.99,0,38.24,-,1,5,3,1,-96,-60,,"Dec, 2017"
B00VDVHEF4,"Muzagroo Art Oil Painting Modern Art Happy Frog Painted by Hand on Canvas Stretched Ready to Hang Wall Decoration(24x24in, Happy Frog)","Home & Kitchen","Muzagroo Art",43543,42.99,221,25.24,9500.79,321,4.5,1,4085,74,-8,19,"Aug, 2018"
B00VHY517K,"Muzagroo Art Music Monkey Oil Painting Hand Painted Art on Canvas Wall Art for Living Room Ready to Hang (20x24inx2)","Home & Kitchen","Muzagroo Art",275028,69.9,19,48.87,1328.1,41,4.5,1,722,69,-101,10,"Aug, 2018"
B00X3NRNJW,"Muzagroo Art Oil Painting Monkey Art on Canvas Hand Painted for Home Decor Kids Room (16x16in)","Home & Kitchen","Muzagroo Art",248421,27.99,23,14.39,643.77,30,4.4,1,415,239,63,11,"Dec, 2018"
B019Q2HG2W,"wall26 - Stick'Em Up Banksy Graffiti Artwork - Canvas Art Wall Decor - 24""x36""","Home & Kitchen",wall26,94683,39.99,126,21.17,4408.74,88,4.8,1,1808,145,-84,3,"Jun, 2019"
B01AFZU6Y4,"Muzagroo Art Oil Painting Smoking Dog Pictures Hand Painted Canvas Art for Boys Room (16x16in, Smoking Dog 1)","Home & Kitchen","Muzagroo Art",138305,27.99,28,14.39,783.72,21,4.4,1,533,232,-26,12,"Mar, 2019"
B01DDHLGIG,"wall26 - Canvas Print Wall Art - I'm Out of Bed and Dressed What More do You Want? - Rat - Street Art - Guerilla - Banksy Street Artwork on Canvas Stretched Gallery Wrap. - 32 x 48 inches","Home & Kitchen",wall26,28035,69.98,361,59.48,25262.78,267,4.1,1,,,37,,"Oct, 2018"
B01EYW1Y3Q,"Designart Direction Street Graffiti Canvas Art Print-32x16, 32x16, Blue","Home & Kitchen","Design Art",2482317,35.75,0,19.09,-,1,3,5,3,,-99,-47,"Dec, 2017"
B01GETLTGE,"Pingo World 0531QY8Z7PM Snow White with Grenade Gallery Wrapped Canvas Print (30 x 20). Bonus Free Banksy Wall Decal, 30"" x 20"",","Home & Kitchen","Pingo World",351446,59.17,4,38.99,236.68,7,4.8,2,92,,-52,11,"Dec, 2018"
B01HO9YQGS,"DVQ ART - Colorful Rain Prints Paintings Modern Canvas Wall Art With Frames For Home Decorative Picture","Home & Kitchen","DVQ ART",70881,56.89,177,35.54,10069.53,22,4.9,2,1220,917,106,,"Jul, 2019"
B01IHKX2G8,"wall26 - Rustic Canvas Wall Art - Two Giraffes - Giclee Print Modern Wall Decor | Stretched Gallery Wrap Ready to Hang Home Decoration - 12x18 inches","Home & Kitchen",wall26,404051,25.99,60,22.09,1559.4,51,4.6,1,,,53,,"Dec, 2018"
B01IHKX79K,"wall26 - Rustic Canvas Wall Art - Two Giraffes - Giclee Print Modern Wall Decor | Stretched Gallery Wrap Ready to Hang Home Decoration - 16x24 inches","Home & Kitchen",wall26,404051,29.99,61,25.49,1829.39,51,4.6,1,758,,57,,"Dec, 2018"
B01IHKXZK6,"wall26 - Rustic Canvas Wall Art - Two Giraffes - Giclee Print Modern Wall Decor | Stretched Gallery Wrap Ready to Hang Home Decoration - 24x36 inches","Home & Kitchen",wall26,404051,39.99,59,33.99,2359.41,51,4.6,1,762,,51,,"Dec, 2018"
B01JGHE0EO,"Visual Art Decor Modern Canvas Wall Art for Living Room Fancy Purple Starry Universe Space Canvas Prints Ready to Hang Wall Decoration for Home Office","Home & Kitchen","Visual Art",435104,69.89,14,42.41,978.46,12,4.3,2,208,498,16,-15,"Aug, 2018"
B01NAS8CHG,"wall26 - Funny Flying Animals Canvas Wall Art - Whale Flying Above The Clouds - Gallery Wrap Nursery Wall Decoration/Kids' Room Decor | Ready to Hang - 12x18 inches","Home & Kitchen",wall26,1279614,25.99,2,22.09,51.98,4,5,1,12,,0,,"Sep, 2018"
B06XHFBNNV,"Asdam Art Paintings-24X48 inch Hand Painted Tree Paintings Abstract Large Wall Art for Living Room Canvas Artwork Framed Art for Home Wall Decor Red","Home & Kitchen","Asdam Art",119021,85.94,131,60.36,11258.14,299,4.5,0,4034,1773,-81,,"Mar, 2019"
B06XPXXZG9,"wall26 - USA Landmarks Canvas Wall Art - The World Famous Grand Prismatic Spring in Yellowstone National Park - Gallery Wrap Modern Home Decor | Ready to Hang - 32x48 inches","Home & Kitchen",wall26,246520,69.98,47,59.48,3289.06,17,4.9,1,512,,4,,"Dec, 2018"
B072R548KB,"wall26 - 3 Piece Canvas Wall Art - Elephant Family on The Vast Grassland - Modern Home Decor Stretched and Framed Ready to Hang - 16""x24""x3 Panels","Home & Kitchen",wall26,1330045,49.99,3,42.49,149.97,1,5,1,33,,9,,"Sep, 2018"
B072WQ3T74,"wall26 - 3 Piece Canvas Wall Art - Couple Walking on Harbor Pier with Colorful Boats,Illustration Painting - Modern Home Decor Stretched and Framed Ready to Hang - 16""x24""x3 Panels","Home & Kitchen",wall26,312275,49.99,56,42.49,2799.44,26,4.4,1,517,,76,,"Aug, 2018"
