Phrase,"Search Volume",Category,BSR,Price,"Monthly Sales","Monthly Revenue","Review Count","Review Rating",Sellers,"Last Year Sales","Sales Year over Year","Sales Trend (90 days)","Price Trend (90 days)","Best Sales Period","Broad Search Potential","Number of Competing Products","Sales to Reviews"
"personalized photos",225,"Home & Kitchen",95219,21.52,275,7242.3,112,4.45,1,6730,407,-6,0,"May, 2019",6,0,2.867
"ginko brick clock",252,"Home & Kitchen",882837,35.77,54,861.21,25,3.52,2,739,-90,0,0,-,0,0,1.12
"kid bathroom sets",139,"Home & Kitchen",104154,21.5,775,11430.39,228,4.36,2,12526,15,0,0,"Mar, 2019",6,300000,3.81157894
"blinds parts",190,"Home & Kitchen",75315,10,394,4290.21,122,4.25,5,4562,37,0,0,"Jul, 2019",6,0,3.70166666
easywring,210,"Home & Kitchen",109226,38.35,3340,109414.11,794,4.31,3,57762,100,21,0,"Oct, 2018",4,391,8.06578947
"oak is",158,"Home & Kitchen",484706,86.97,1678,34753.93,911,4.33,22,15906,222,0,0,-,9,50000,4.692
"22x28 picture frame",301,"Home & Kitchen",36329,35.31,2206,78131.4,460,3.98,2,54668,2010,63,0,"Aug, 2018",3,0,14.1631578
alvorog,211,"Home & Kitchen",67697,70.58,190,8745.2,145,4.64,2,2260,-40,0,0,"Aug, 2019",1,0,6.3675
"eames chair white",159,"Home & Kitchen",50633,115.53,369,32085.95,193,4.28,2,5854,453,0,0,"Aug, 2018",4,0,6.17941176
"window a/c unit",892,"Home & Kitchen",10879,174.63,3869,272964.33,875,4.09,39,89402,101,0,0,-,1,0,13.818
"jackknife sofa cover rv",159,"Home & Kitchen",86341,64.65,4104,116596.24,885,4,2,42696,269,0,0,"Mar, 2019",1,0,5.361875
"dhp dakota upholstered platform bed with storage drawers",402,"Home & Kitchen",181473,300.89,345,91786.87,702,3.92,5,5402,176180,0,1,"Aug, 2018",0,9,1.1045
"laundry room door",227,"Home & Kitchen",179099,49.41,745,15277.63,253,4.2,3,8252,-15,0,0,"Jul, 2018",4,50000,5.58117647
"acrylic tv stand",137,"Home & Kitchen",157938,95.53,150,12687.37,245,4.29,5,2134,205,0,0,-,2,0,1.95285714
"dream catchers for girls",166,"Home & Kitchen",83257,10.99,343,3724.86,56,4.62,2,5445,599,0,0,"Dec, 2018",5,60000,9.13157894
"platform bed frame",11262,"Home & Kitchen",28700,128.63,12638,1115126.18,2802,4.51,6,150697,225,10,0,"Aug, 2018",7,10000,9.6965
"pj masks bedding toddler",198,"Home & Kitchen",80797,33.46,814,16688.01,417,4.53,5,11099,440,39,0,"Dec, 2017",4,182,5.92555555
"prank candles",219,"Home & Kitchen",275459,12.82,3575,36416.1,1295,4.01,4,72258,24,0,0,"Dec, 2018",4,878,9.53888888
"gray bedding full",402,"Home & Kitchen",15243,47.76,15265,562547.71,2665,4.34,2,142882,1728,241,0,"Aug, 2018",5,0,7.8585
"white ruffle curtains 2 panels",220,"Home & Kitchen",141841,28.38,113,3856.72,118,4.07,4,1225,669,0,0,"Aug, 2019",0,60000,3.72
"euro sham cover",208,"Home & Kitchen",18545,19.96,2148,38649.01,405,4.55,2,28024,220,0,0,"Jul, 2019",5,50000,8.46
"amethyst stones",223,"Home & Kitchen",87830,18.79,404,6702.59,197,4.4,2,8353,1246,0,0,"Jul, 2019",5,0,2.89105263
"nikken water filter",476,"Home & Kitchen",262964,98.97,52,3677.75,88,4.18,6,781,-12,0,0,"Jul, 2019",3,199,2.21684210
"steam grout cleaner",143,"Home & Kitchen",43544,89.54,3547,279343.41,1454,4.06,4,54136,40,0,0,"Jul, 2019",4,900,7.08894736
"wooden kitchen chairs",402,"Home & Kitchen",112306,114.24,83,9431.27,142,4.16,14,1244,44,0,0,"Mar, 2019",4,100000,1.57222222
"purple queen mattress",727,"Home & Kitchen",16457,499.34,11977,3173633.34,3248,4.22,5,128007,93,0,0,-,4,218,4.14538461
"bathroom hutch",181,"Home & Kitchen",33479,76.77,917,51313.62,534,4.01,6,9312,81,8,0,"Jul, 2019",3,0,9.1225
"countertop shelf for kitchen",363,"Home & Kitchen",15803,27.39,2645,68418.5,758,4.42,2,48377,101,0,0,"Jan, 2019",3,40000,5.63842105
"storage cases",206,"Home & Kitchen",7232,27.6,1601,46129.62,431,4.37,4,10585,58,0,0,"Jul, 2019",8,100000,8.01666666
