Phrase,"Search Volume",Category,BSR,Price,"Monthly Sales","Monthly Revenue","Review Count","Review Rating",Sellers,"Last Year Sales","Sales Year over Year","Sales Trend (90 days)","Price Trend (90 days)","Best Sales Period","Broad Search Potential","Number of Competing Products","Sales to Reviews"
"duvet for summer",140,"Home & Kitchen",36218,59.17,6390,168442.44,1964,4.49,2,110438,1377,-35,0,"Oct, 2018",4,0,4.9385
"cooling body pillow cover",198,"Home & Kitchen",49218,21.52,4799,84035.21,566,4.38,2,66425,177,0,0,"Jul, 2019",2,0,12.7463157
"liquid candle",219,"Home & Kitchen",179952,35.78,121,3354.98,134,4.14,3,3855,258,0,0,"Dec, 2018",5,10000,1.97882352
"wine wall decor",1373,"Home & Kitchen",128418,25.76,354,7095.41,98,4.66,3,3217,1389,80,0,"Dec, 2018",5,50000,3.92277777
"jewelry display box",201,"Home & Kitchen",42875,21.05,675,13880.76,184,4.4,3,8685,228,0,0,"Dec, 2018",5,100000,5.46736842
"bed in a bag kids",150,"Home & Kitchen",42480,44.96,2384,82020.44,402,4.37,4,21097,341,0,0,"Jul, 2019",5,0,8.91333333
"winix 6300",402,"Home & Kitchen",356195,123.94,819,85932.83,267,4.35,2,29517,60,0,0,"Apr, 2019",3,81,2.98176470
"better sleep",265,"Home & Kitchen",157886,63.46,232,10115.94,403,4.01,2,2751,104,0,0,"Jul, 2019",1,1000,3.76666666
"linen organizers and storage",476,"Home & Kitchen",25475,29.52,2923,65750.15,346,4.48,3,42216,507,0,0,"Jan, 2019",3,0,8.6975
"window clings for bird strikes",261,"Home & Kitchen",43330,12.55,224,2590.92,146,4.24,4,4408,50,0,0,"May, 2019",2,5000,11.3885
"black nightstand with drawers",179,"Home & Kitchen",96773,78.14,611,33304.64,351,3.83,13,5721,241,0,-2,"Jan, 2019",4,0,3.3065
"triangle side table",211,"Home & Kitchen",73781,65.46,1313,29493.98,464,4.41,6,12830,1028,0,0,"Jan, 2019",2,0,2.46555555
"buffalo plaid throw",201,"Home & Kitchen",79218,21.68,255,4408.47,142,4.54,3,6186,110,0,0,"Dec, 2018",5,50000,2.52611111
"orquidias flowers",257,"Home & Kitchen",133481,19.11,1658,20774.3,353,4.01,3,20815,137,-13,0,"Mar, 2019",1,0,4.68142857
wreath,23020,"Home & Kitchen",57364,23.56,293,6603.89,75,4.18,3,5149,237,0,0,"Mar, 2019",10,100000,11.647
"rv memory foam mattress topper",248,"Home & Kitchen",12106,97.86,9791,746291.82,1525,4.27,4,76424,2741,0,0,"Aug, 2019",3,0,5.66111111
"wrought iron toilet paper holder",241,"Home & Kitchen",273376,22.89,61,1121.82,45,4.53,3,832,8,0,0,-,2,0,2.81777777
