ASIN,Title,Category,Brand,BSR,Price,"Monthly Sales","Net Price","Monthly Revenue","Review Count","Review Rating",Sellers,"Last Year Sales","Sales Year over Year","Sales Trend (90 days)","Price Trend (90 days)","Best Sales Period"
B00A1SADNU,"Large Banksy Wall Art Canvas Print - Red Balloon Girl - Framed Pictures Set of 4 Panels - 130cm / 51"" Wide - Ready to Hang","Home & Kitchen",Wallfillers,630379,31.35,24,15.73,752.4,56,4.2,0,559,-60,-9,-38,"Nov, 2017"
B00NIZIIUI,"5 Panel Wall Art Painting City Graffiti Street Wall Prints On Canvas The Picture City Pictures Oil For Home Modern Decoration Print Decor","Home & Kitchen","So Crazy Art",1777811,43.7,1,37.14,43.7,1,5,4,2,-94,0,-2,"Dec, 2017"
B00VHY517K,"Muzagroo Art Music Monkey Oil Painting Hand Painted Art on Canvas Wall Art for Living Room Ready to Hang (20x24inx2)","Home & Kitchen","Muzagroo Art",213432,69.9,30,48.87,2097,41,4.4,1,663,,0,5,"Aug, 2018"
B01AFZU6Y4,"Muzagroo Art Oil Painting Smoking Dog Pictures Hand Painted Canvas Art for Boys Room (16x16in, Smoking Dog 1)","Home & Kitchen","Muzagroo Art",339591,27.99,34,14.39,951.66,21,4.4,1,539,158,-6,10,"Mar, 2019"
B01DEXKF6I,"wall26 - Stick'Em Up Banksy Graffiti Artwork - Canvas Art Wall Decor - 32""x48""","Home & Kitchen",wall26,97382,59.99,97,50.99,5819.03,89,4.8,2,1733,327,-5,,"Jun, 2019"
B01EYW1Y3Q,"Designart Direction Street Graffiti Canvas Art Print-32x16, 32x16, Blue","Home & Kitchen","Design Art",2828621,35.75,0,19.09,-,1,3,5,3,,-140,-9,"Dec, 2017"
B01HFMVGWQ,"Pyramid America Banksy Youre Never Too Young to Dream Big Graffiti Art Black Wood Framed Poster 20x14 inch","Home & Kitchen","Pyramid America",576080,39.97,15,24.19,599.55,11,4.3,2,101,,202,,"Aug, 2019"
B01NBN8W90,"Muzagroo Art Painted by Hand Oil Paintings Listen to Music Gorilla Canvas Pictures Large Canvas Art for Living Room Wall Decor L","Arts, Crafts & Sewin","Muzagroo Art",110067,54.9,27,46.66,1482.3,66,4.2,1,517,184,167,,"Jul, 2018"
B071KR1FZK,"wall26 - Robot Graffiti Banksy Street - Canvas Art Wall Decor - 16""x24""x3 Panels","Home & Kitchen",wall26,131332,44.99,84,25.04,3779.16,67,4.6,2,1329,156,16,,"Aug, 2018"
B073L3WYWT,"JSC353 Your Never Too Young to Dream Big Banksy Poster | 18-Inches by 12-Inches | Premium 100lb Gloss Poster Paper","Home & Kitchen",JSC,963266,9.94,6,5.26,59.64,1,1,1,75,,556,12,"Aug, 2018"
B074M818WX,"Visual Art Decor Animals Canvas Wall Art Modern Gorilla Monkey Music Oil Painting Wall Painting Happy Dog Frog Canvas Painting Home Decor Animal Prints (16x16x3)","Home & Kitchen","Visual Art",65178,57.25,114,38.25,6526.5,119,4.7,1,1088,3,122,,"Aug, 2018"
B074P33S4M,"wall26 - Canvas Wall Art - Dog Listening to Music Funny Animal Concept - Gallery Wrap Modern Home Decor | Ready to Hang - 12x18 inches","Home & Kitchen",wall26,739927,25.99,23,22.09,597.77,7,4.3,1,193,,-31,,"Mar, 2019"
B075NPJM6H,"Muzagroo Art Monkey Listening to Music Oil Paintings Hand Painted Huge Wall Art for Living Room Stretched Ready to Hang XL","Arts, Crafts & Sewin","Muzagroo Art",144992,99.9,45,68.1,4495.5,66,4.2,1,730,191,-45,,"Dec, 2018"
B076J7LQFB,"Wieco Art Abstract Giclee Canvas Prints Wall Art Ready to Hang for Kitchen Home Office Decor Banksy Life is Beautiful Large Modern Stretched and Framed Grey Impressionist Pictures Paintings Artwork","Home & Kitchen","Wieco Art",80330,29.9,167,16.14,4993.3,38,4.5,1,1421,,100,,"Mar, 2019"
B076J9JRR3,"Animals Canvas Wall Art,Modern Gorilla Monkey Music Oil Painting Wall Painting Happy Dog Frog Canvas Painting Home Decor Animal Prints (16""x16""x3 Retro Floater)","Home & Kitchen","Visual Art",65178,79.25,118,50.11,9351.5,118,4.7,2,1948,,2,,"Aug, 2018"
B076V4L8Y6,"XMFHJFHJ Banksy Art Painting Prints (24x36inch Framed, Life is short chill the duck out)","Home & Kitchen",art1,116106,42.78,72,23.54,3152.16,11,3.9,6,772,,26,,"Mar, 2019"
B077QLXW4J,"DVQ ART - Framed Canvas Painting Graffiti Monkey Follow Your Dreams Art Wall Picture Animal Street Artwork for Living Room Decor Ready to Hang 1 Pcs","Home & Kitchen","DVQ ART",124127,26.99,134,13.54,3616.66,23,3.9,1,1166,,16,,"Jul, 2019"
B07BK471Q1,"1 Piece-Banksy Life Is Short Chill The Duck Out-Kids With Dustbin Street Wall Artwork Wall Art Painting Picture Print On Canvas Global Map For Office Home Decor -Wood Framed Poster- Finished Hang-Gift","Home & Kitchen","FY Art Decor",2885928,60.99,0,51.84,-,1,5,2,5,,-136,,"Aug, 2018"
B07C7V1CCD,"The World Map Canvas Print Abstract Wall Art Painting Decor for Home Decoration Artwork Picture Bedroom Office (A, Over Size 60''x30'')","Home & Kitchen",Canvas_Art_Design_2015,262728,79.98,34,50.73,2719.32,15,3.2,2,493,,-36,,"Nov, 2018"
B07C7WC9MN,"The World Map Canvas Print Abstract Wall Art Painting Decor for Home Decoration Artwork Picture Bedroom Office (B, Over Size 60''x30'')","Home & Kitchen",Canvas_Art_Design_2015,277931,79.98,33,67.98,2639.34,15,3.2,2,495,,-35,,"Jan, 2019"
B07C7WP6RT,"The World Map Canvas Print Abstract Wall Art Painting Decor for Home Decoration Artwork Picture Bedroom Office (C, Over Size 60''x30'')","Home & Kitchen",Canvas_Art_Design_2015,262728,79.98,34,48.63,2719.32,15,3.2,2,491,,-37,,"Jan, 2019"
B07D9CZD2K,"Graffiti Paintings Canvas Colorful Wall Art Living Room Decor 5 Panel Pictures Music Collage on Brick Wall Contemporary Home Decor Modern Artwork Posters and Prints Framed Ready to Hang(60''Wx32''H)","Home & Kitchen",TUMOVO,69247,66,73,45.56,4818,19,4.1,2,837,,-3,1,"Mar, 2019"
B07DVPH5J8,"SmileArtDesign Banksy Canvas Print Space Girl with Bird from Chicago Banksy Wall Art Home Decor Decorative Artwork Stretched Ready to Hang%100 Made in The USA 8x12","Home & Kitchen",SmileArtDesign,3938342,19.98,0,16.98,-,1,5,1,0,,347,,"Aug, 2019"
B07F7J2FZB,"Inzlove Animals Canvas Wall Art Modern Cartoon Oil Painting Print Happy Dog Frog Pictures for Living Room Bedroom Home Decor","Home & Kitchen",Inzlove,44686,36,119,24.75,4284,15,4.9,1,864,,2,,"Jul, 2019"
B07FSVJVP3,"ARTCANVAS What We Do in Life Echoes in Eternity Canvas Art Print by Banksy - 40"" x 26"" (0.75"" Deep)","Home & Kitchen",ARTCANVAS,488296,58.99,29,31.52,1710.71,13,5,1,0,,26,,"Apr, 2019"
B07GVDX7M8,"Pyradecor Banksy Grafitti Girl with Red Balloon Large Modern Gallery Wrapped Giclee Canvas Prints Artwork Grey Love Pictures Paintings on Canvas Wall Art for Living Room Bedroom Home Decorations","Home & Kitchen",Pyradecor,79701,39.9,63,21.47,2513.7,23,4.3,2,0,,-35,,"Jan, 2019"
B07H8JW6HS,"Banksy Wall Art Framed Collage Canvas Set of Prints - Modern Living Room Artwork Decor - 4500 - Large 51"" Wide","Home & Kitchen",Wallfillers,363840,49.99,27,30.18,1349.73,1,5,1,0,,0,,"Jan, 2019"
B07HDLWH9V,"youkuart Framed Wall Art Banksy Art Canvas Wall Art Colorful Figure Street Graffiti Wall Art Pics for Living Room Decor Ready to Hang 24inx48in(artwork2)","Home & Kitchen",youkuart,433210,89.9,21,64.48,1887.9,11,4.5,1,0,,-53,,"Dec, 2018"
B07K89NVM2,"Banksy Canvas Print Colorful Rain Graffiti Wall Art Print Gallery Wrapped Image Mural Artwork for Home Decoration Modern Framed Poster Gift (Banksy Artwork 5, 20x40 Inch)","Home & Kitchen","April Art",164599,48.88,86,41.55,4203.68,18,3.9,3,0,,66,,"Aug, 2019"
B07KTJ162C,"Banksy Canvas Print Crayola Shooter Graffiti LA USA Street Art Banksy Wall Art Modern Art Wall Decor Home Decor Stretched Ready to Hang-%100 Handmade in The USA- 8x12","Home & Kitchen","Smile Art Design",2652880,19.98,0,16.98,-,-1,-1,1,0,,-133,,"Jun, 2019"
B07KTJ6TV3,"Banksy Canvas Print Bronx Zoo Yankee Stadium Tiger Graffiti NYC USA Street Art Banksy Wall Art Modern Art Wall Decor Home Decor Stretched Ready to Hang-%100 Handmade in The USA- 8x12","Home & Kitchen","Smile Art Design",2399706,19.98,3,16.98,59.94,-1,-1,1,,,0,,"Aug, 2019"
B07L1ZTT5C,"Banksy Old School Graffiti Canvas Prints Wall Art Archival Ink in Glossy Professional Photo Paper 17"" x 26""","Home & Kitchen",Banksy,3412181,39.99,0,25.73,-,-1,-1,1,0,,-11,,"Jul, 2019"
B07LF2G3WW,"Paimuni Gorilla Monkey Paintings Hand Painted Cute Chimp Canvas Oil Painting Stretched and Framed Ready to Hang Living Room Bedroom Office Bathroom 24x24 Inch","Home & Kitchen",Paimuni,190018,45.99,79,27.79,3633.21,26,4.9,1,780,,14,,"Feb, 2019"
B07MH2K6FC,"Modern Pop Art Decor - Framed - Thinking Monkey with Headphones Canvas Print Home Decor Wall Art, Gallery Wrap Inner Frame, 24x24","Home & Kitchen","Art Hub",117265,29.5,166,25.07,5727,28,4.3,2,0,,22,,"Aug, 2019"
B07NCHYV5V,"NWT Canvas Wall Art Grey Hippopotamus Painting Artwork for Home Prints Framed for Kids - 24x24 inches","Home & Kitchen",NWT,934143,34.99,1,18.19,34.99,-1,-1,1,0,,255,,"Jul, 2019"
B07NP9R3JH,"Epic Graffiti Wild World by DB Waterman Giclee Canvas Wall Art 26"" x 34"" Red","Home & Kitchen","Epic Graffiti",1528716,64.33,0,38.06,-,-1,-1,2,0,,,,-
B07PRY485S,"Banksy Die Capitalism Graffiti Canvas Prints Wall Art Archival Ink in Glossy Professional Photo Paper 17"" x 26""","Home & Kitchen",Banksy,1998480,39.99,1,24.74,39.99,1,1,0,0,,55,,"May, 2019"
B07PVCJ1CR,"Banksy Laugh Now but one Day We'll be in Charge Graffiti Canvas Prints Wall Art Archival Ink in Glossy Professional Photo Paper 17"" x 25""","Home & Kitchen",Banksy,1397210,29.99,1,17.23,29.99,-1,-1,1,,,1969,-9,"Jul, 2019"
B07Q6Q4VHG,"Elephant & Giraffe Canvas Wall Art: Animal Running Graphic Art Painting Print for Wall Decor for Bedroom(24''x18'')","Home & Kitchen","Artistic Path",97091,29.99,66,14.95,1979.34,18,5,1,0,,27,,"Jun, 2019"
B07QRVLPB7,"Canvas Wall Art for Bedroom, PIY Small Life is Beautiful Girl with Red Balloon Graffiti Boys on Street Pictures, Modern Pop Prints Artwork Decor with Frame (Waterproof, Bracket Mounted Ready to Hang)","Home & Kitchen","Piy Painting",40912,27.78,224,18.35,6224.96,129,4.6,1,0,,17,-6,"Aug, 2019"
B07RPY82YQ,"Animal Picture Wall Art Modern Lovely Panda Happy Frog with Glasses Artwork Cartoon Images Oil Painting Print on Canvas for Kids Room Living Room Decoration","Home & Kitchen","Skyme Art",59707,36,176,24.58,6336,4,5,1,0,,,,"Aug, 2019"
B07S27N36G,"Canvas Prints Framed Wall Art Banksy Art Wall Art for Bedroom Artwork Colorful Figure Street Graffiti Wall Decor Pics for Living Room Decor Ready to Hang","Home & Kitchen","qingyiwall art",54056,13.99,174,7.19,2434.26,12,4.8,1,0,,1467,,"Aug, 2019"
B07S7QQ55Y,"Yatehui Cool Ape Oil Painting on Canvas 100% Hand Painted Pop Art Funny Gorilla Thinking Monkey Listening to Music with Headphone Canvas Wall Art Framed Ready to Hang 24 x 20 Inches","Home & Kitchen",Yatehui,597952,35.9,20,19.59,718,-1,-1,1,0,,,,"Aug, 2019"
