Phrase,"Search Volume",Category,BSR,Price,"Monthly Sales","Monthly Revenue","Review Count","Review Rating",Sellers,"Last Year Sales","Sales Year over Year","Sales Trend (90 days)","Price Trend (90 days)","Best Sales Period","Broad Search Potential","Number of Competing Products","Sales to Reviews"
"curtains f",50443,Automotive,2630,25.47,8369,202998.49,1749,4.59,2,91339,1014,0,0,"May, 2019",8,50000,9.324375
"apple cide",50841,Automotive,5420,15.76,4540,79878.49,428,4.42,3,63511,76,0,0,"May, 2019",6,1000,17.3921052
bikinis,51239,"Baby Products",14528,19.91,8129,164048.76,376,3.96,2,37424,9,0,0,"Jun, 2019",10,300000,80.4377777
"beard stra",51438,"Baby Products",12551,29.73,702,18515.4,180,4.41,2,20151,76,0,0,"Jul, 2019",5,4000,15.48
"jeans for ",51637,"Baby Products",2678,31.47,1746,55665.73,3728,4.3,3,26091,1070,-33,0,"Mar, 2019",10,200000,1.31947368
"fishing li",51836,Beauty,5456,35.58,1482,65802.43,584,4.38,4,12643,17543,0,0,"May, 2019",8,50000,5.065
"hair dye",52035,Beauty,18402,9.32,497,5361.16,952,3.98,9,4484,-3,0,0,"May, 2019",9,50000,1.35210526
"dress for ",52632,Beauty,5482,26.53,18648,480529.66,1318,4.23,2,108734,,0,0,"May, 2019",10,800000,22.4942105
"the ordina",52867,Beauty,6918,15.24,1434,19810.29,141,4.08,27,21865,75,-12,-13,"Oct, 2018",8,80000,17.983
"macbook ai",52867,Beauty,4041,23.54,1228,26131.59,171,4.52,3,,,0,0,"Jun, 2019",6,10000,23.0327777
